id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
PIC_SER_052,14,3,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,2.15,569.98
PIC_SER_052,14,3,1,Avez-vous vu une éponge ?,6,6,1,1.22,571.23
PIC_SER_052,14,3,2,Avez-vous vu des serviettes usagées ?,6,6,1,1.99,573.27
PIC_SER_052,14,3,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,1.58,574.91
PIC_SER_052,15,1,0,Avez-vous vu une pile de livres sur la droite de l'image ? ,6,6,1,4.82,589.52
PIC_SER_052,15,1,1,Avez-vous vu un ceintre sur la gauche de l'image ? ,6,6,1,2.95,592.51
PIC_SER_052,15,2,0,Avez-vous vu une pile de livres sur la droite de l'image ? ,6,6,1,2.14,606.37
PIC_SER_052,15,2,1,Avez-vous vu un ceintre sur la gauche de l'image ? ,6,6,1,1.14,607.55
PIC_SER_052,16,1,0,Combien y a-t-il de tasses sur cette photo ? ,6,6,1,2.61,619.3
PIC_SER_052,16,1,1,Avez-vous vu du linge sale sur cette photo ? ,6,6,1,3.39,622.73
PIC_SER_052,16,1,2,Avez-vous vu des restes alimentaires sur cette photo ? ,6,0,0,2.3,625.08
PIC_SER_052,16,2,0,Combien y a-t-il de tasses sur cette photo ? ,6,6,1,2.17,637.22
PIC_SER_052,16,2,1,Avez-vous vu du linge sale sur cette photo ? ,6,6,1,5.22,642.49
PIC_SER_052,16,2,2,Avez-vous vu des restes alimentaires sur cette photo ? ,6,0,0,1.99,644.52
PIC_SER_052,16,3,0,Combien y a-t-il de tasses sur cette photo ? ,6,6,1,2.07,656.05
PIC_SER_052,16,3,1,Avez-vous vu du linge sale sur cette photo ? ,0,6,0,4.91,661.0
PIC_SER_052,16,3,2,Avez-vous vu des restes alimentaires sur cette photo ? ,6,0,0,1.54,662.6
PIC_SER_052,17,1,0,Combien avez-vous vu de pinguins sur cette photo ? ,6,6,1,3.5,671.05
PIC_SER_052,17,2,0,Combien avez-vous vu de pinguins sur cette photo ? ,6,6,1,1.64,679.78
PIC_SER_052,18,1,0,Combien avez-vous vu d'humains sur cette photo ? ,0,0,1,2.05,688.93
PIC_SER_052,18,1,1,Il y a moins de trente moutons sur l'image. ,0,0,1,3.82,692.8
PIC_SER_052,18,2,0,Combien avez-vous vu d'humains sur cette photo ? ,0,0,1,2.6,702.52
PIC_SER_052,18,2,1,Il y a moins de trente moutons sur l'image. ,0,0,1,3.23,705.81
PIC_SER_052,19,1,0,Il y a plus de 7 tentacules visibles. ,6,6,1,4.21,716.72
PIC_SER_052,19,1,1,Il y a autant de tentacules de part et d'autre du clocher. ,6,6,1,4.21,720.99
PIC_SER_052,19,2,0,Il y a plus de 7 tentacules visibles. ,6,6,1,4.2,732.02
PIC_SER_052,19,2,1,Il y a autant de tentacules de part et d'autre du clocher. ,0,6,0,1.46,733.54
PIC_SER_052,20,1,0,Il y a autant de grands arbres à gauche qu'à droite. ,0,0,1,2.61,743.27
PIC_SER_052,20,1,1,La calèche est tirée par deux chevaux. ,6,0,0,2.73,746.06
PIC_SER_052,20,1,2,On peut apercevoir un clocher. ,6,0,0,2.5,748.61
PIC_SER_052,20,2,0,Il y a autant de grands arbres à gauche qu'à droite. ,0,0,1,2.24,759.0
PIC_SER_052,20,2,1,La calèche est tirée par deux chevaux. ,0,0,1,1.74,760.79
PIC_SER_052,20,2,2,On peut apercevoir un clocher. ,0,0,1,1.74,762.57
PIC_SER_052,21,1,0,Les toits sont bleus. ,0,6,0,3.37,771.01
PIC_SER_052,21,2,0,Les toits sont bleus. ,0,6,0,9.53,787.56
PIC_SER_052,22,1,0,Il y a 5 bateaux. ,0,6,0,3.49,802.42
PIC_SER_052,22,1,1,Il y a  des bateaux a 2 voiles. ,0,6,0,5.07,807.55
PIC_SER_052,22,1,2,On peut voir un chien. ,6,0,0,3.02,810.62
PIC_SER_052,22,2,0,Il y a 5 bateaux. ,6,6,1,3.45,822.64
PIC_SER_052,22,2,1,Il y a  des bateaux a 2 voiles. ,6,6,1,1.87,824.57
PIC_SER_052,22,2,2,On peut voir un chien. ,0,0,1,1.49,826.1
PIC_SER_052,22,3,0,Il y a 5 bateaux. ,6,6,1,1.53,836.13
PIC_SER_052,22,3,1,Il y a  des bateaux a 2 voiles. ,6,6,1,1.62,837.8
PIC_SER_052,22,3,2,On peut voir un chien. ,0,0,1,1.3,839.15
PIC_SER_052,23,1,0,Toutes les lunes sont dans le même sens. ,0,0,1,5.24,849.67
PIC_SER_052,23,2,0,Toutes les lunes sont dans le même sens. ,6,0,0,3.59,860.22
PIC_SER_052,23,3,0,Toutes les lunes sont dans le même sens. ,6,0,0,2.51,868.79
PIC_SER_052,24,1,0,Les tapis sont alignés. ,6,0,0,3.77,881.72
PIC_SER_052,24,1,1,Il y a une brosse à dent près du lit. ,0,0,1,2.96,884.74
PIC_SER_052,24,1,2,L'armoire est ouverte. ,0,0,1,1.52,886.3
PIC_SER_052,24,2,0,Les tapis sont alignés. ,0,0,1,2.64,898.46
PIC_SER_052,24,2,1,Il y a une brosse à dent près du lit. ,0,0,1,1.8,900.32
PIC_SER_052,24,2,2,L'armoire est ouverte. ,0,0,1,1.25,901.62
PIC_SER_052,24,3,0,Les tapis sont alignés. ,0,0,1,1.45,912.41
PIC_SER_052,24,3,1,Il y a une brosse à dent près du lit. ,0,0,1,2.9,915.37
PIC_SER_052,24,3,2,L'armoire est ouverte. ,0,0,1,1.39,916.81
PIC_SER_052,25,1,0,Il y a plus de 10 pommes.,0,0,1,5.11,927.61
PIC_SER_052,26,1,0,Les costumes sont identiques. ,6,6,1,2.92,940.27
PIC_SER_052,26,2,0,Les costumes sont identiques. ,6,6,1,1.42,947.37
PIC_SER_052,27,1,0,Les éléphants sont parfaitement symétriques. ,0,0,1,3.22,957.09
PIC_SER_052,27,2,0,Les éléphants sont parfaitement symétriques. ,0,0,1,1.28,966.4
PIC_SER_052,28,1,0,Les toits sont à la même hauteur. ,0,0,1,2.81,974.48
PIC_SER_052,28,2,0,Les toits sont à la même hauteur. ,0,0,1,1.16,981.29
PIC_SER_052,29,1,0,Le deuxième éléphant porte une pyramide.  ,6,6,1,3.05,990.49
PIC_SER_052,29,2,0,Le deuxième éléphant porte une pyramide.  ,6,6,1,2.36,1000.06
PIC_SER_052,30,1,0,Il y a plus de 30 papillons.  ,0,0,1,3.22,1014.03
PIC_SER_052,30,2,0,Il y a plus de 30 papillons.  ,0,0,1,1.43,1023.44
PIC_SER_052,31,1,0,Il y a du maïs sur l'image. ,6,6,1,3.66,1034.49
PIC_SER_052,31,1,1,Au moins deux poires figurent sur l'image. ,6,6,1,4.93,1039.48
PIC_SER_052,31,2,0,Il y a du maïs sur l'image. ,6,6,1,1.64,1048.62
PIC_SER_052,31,2,1,Au moins deux poires figurent sur l'image. ,6,6,1,2.09,1050.77
